Object ID,Frames Seen,Time in Video (s)
1,205,6.83
2,117,3.9
3,104,3.47
5,106,3.53
6,183,6.1
7,220,7.33
8,192,6.4
9,11,0.37
13,6,0.2
19,11,0.37
21,113,3.77
22,7,0.23
25,91,3.03
31,9,0.3
34,46,1.53
35,39,1.3
37,2,0.07
38,166,5.53
40,229,7.63
45,209,6.97
46,124,4.13
47,31,1.03
48,7,0.23
49,150,5.0
50,41,1.37
53,4,0.13
55,2,0.07
57,61,2.03
59,164,5.47
66,1,0.03
68,291,9.7
79,528,17.6
83,482,16.07
86,24,0.8
89,2,0.07
91,66,2.2
92,1,0.03
93,12,0.4
94,156,5.2
96,61,2.03
102,174,5.8
104,165,5.5
109,58,1.93
111,39,1.3
115,136,4.53
122,1,0.03
124,122,4.07
126,18,0.6
127,23,0.77
132,16,0.53
134,64,2.13
135,133,4.43
136,11,0.37
140,10,0.33
142,59,1.97
143,54,1.8
148,43,1.43
155,11,0.37
156,3,0.1
158,204,6.8
159,116,3.87
160,105,3.5
161,191,6.37
165,6,0.2
169,11,0.37
171,113,3.77
172,7,0.23
174,91,3.03
179,9,0.3
182,46,1.53
183,39,1.3
185,2,0.07
186,166,5.53
188,229,7.63
193,209,6.97
194,124,4.13
195,31,1.03
196,7,0.23
197,150,5.0
198,41,1.37
201,4,0.13
203,2,0.07
205,61,2.03
207,164,5.47
214,1,0.03
216,291,9.7
227,301,10.03
231,299,9.97
234,24,0.8
237,2,0.07
239,66,2.2
240,1,0.03
241,12,0.4
242,156,5.2
244,61,2.03
250,174,5.8
252,165,5.5
257,58,1.93
259,39,1.3
263,136,4.53
270,1,0.03
272,97,3.23
274,18,0.6
275,23,0.77
280,16,0.53
282,64,2.13
283,29,0.97
284,11,0.37
288,10,0.33
290,59,1.97
291,54,1.8
296,43,1.43
303,2,0.07
304,3,0.1
